season,year,month,hour,holiday,weekday,workingday,weather,temp,atemp,humidity,windspeed,count
4,1,11,16,0,6,0,1,0.28,0.2424,0.38,0.4478,170
4,0,11,13,0,4,1,2,0.34,0.303,0.49,0.4478,124
2,1,4,4,0,6,0,1,0.34,0.3333,0.49,0.1642,2
2,1,4,23,0,5,1,1,0.4,0.4091,0.4,0.2537,116
4,1,10,11,0,0,0,2,0.42,0.4242,0.71,0.1045,336
3,0,8,2,0,1,1,2,0.7,0.6515,0.65,0.1045,8
2,0,6,1,0,2,1,1,0.6,0.6212,0.49,0.2537,13
1,1,1,22,0,2,1,1,0.32,0.3485,0.81,0,125
1,0,3,20,0,3,1,2,0.32,0.3182,0.87,0.194,91
3,1,8,21,0,6,0,1,0.8,0.7727,0.59,0.2537,289
3,1,6,15,0,6,0,1,0.84,0.7273,0.3,0.3284,483
1,0,2,11,0,2,1,1,0.16,0.2273,0.64,0,50
4,0,12,7,0,0,0,1,0.26,0.303,0.87,0,26
3,0,8,12,0,5,1,2,0.74,0.6818,0.62,0.0896,222
3,0,8,21,0,1,1,1,0.64,0.6212,0.38,0.194,208
3,1,8,2,0,6,0,2,0.66,0.6212,0.74,0.0896,79
4,1,10,9,0,6,0,1,0.36,0.3636,0.5,0.0896,266
1,0,2,17,0,6,0,1,0.42,0.4242,0.19,0.6119,127
3,1,6,1,0,6,0,1,0.66,0.6061,0.78,0.1343,123
4,1,10,10,0,1,1,1,0.5,0.4848,0.55,0,212
3,0,6,20,0,2,1,1,0.74,0.6818,0.62,0,296
1,0,1,22,0,3,1,1,0.3,0.303,0.52,0.1642,59
4,0,10,8,0,6,0,1,0.46,0.4545,0.59,0.2836,125
1,0,1,18,0,4,1,2,0.26,0.2576,0.56,0.194,185
1,1,1,11,0,2,1,1,0.18,0.1364,0.37,0.5224,75
4,0,10,14,0,4,1,2,0.48,0.4697,0.48,0.5522,155
1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0,5
3,1,8,22,0,2,1,1,0.72,0.6818,0.66,0.0896,189
3,1,8,9,0,4,1,1,0.72,0.6667,0.54,0.1045,337
4,0,10,9,0,3,1,3,0.52,0.5,0.88,0.4925,202
4,0,11,21,0,1,1,2,0.54,0.5152,0.77,0.2239,156
1,0,12,13,0,3,1,3,0.44,0.4394,0.94,0.2985,58
3,0,7,16,0,4,1,1,0.76,0.6667,0.33,0.1343,274
1,0,12,5,0,4,1,1,0.2,0.2273,0.55,0.1045,10
3,1,7,1,0,2,1,1,0.74,0.697,0.7,0,25
2,1,5,15,0,5,1,2,0.72,0.6818,0.62,0.1045,343
1,1,1,16,0,3,1,1,0.28,0.2273,0.3,0.5224,176
2,0,6,7,0,6,0,1,0.56,0.5303,0.56,0,87
4,0,10,19,0,6,0,1,0.24,0.2121,0.87,0.3582,39
4,0,11,11,0,1,1,2,0.54,0.5152,0.6,0.2836,128
4,0,10,12,0,2,1,1,0.56,0.5303,0.56,0.2985,199
2,0,6,8,0,6,0,1,0.6,0.6212,0.46,0.0896,125
3,1,8,4,0,3,1,1,0.64,0.5758,0.83,0.1045,4
4,0,12,21,0,3,1,2,0.34,0.3333,0.66,0.1642,154
3,1,6,20,0,0,0,1,0.78,0.697,0.46,0.2537,332
4,1,12,2,0,5,1,2,0.26,0.2727,0.7,0.1343,11
4,0,10,11,0,4,1,1,0.48,0.4697,0.55,0.5224,129
1,1,3,6,0,0,0,2,0.3,0.2727,0.52,0.2985,5
1,1,1,11,0,2,1,1,0.4,0.4091,0.37,0.2836,139
1,0,2,14,0,4,1,2,0.4,0.4091,0.5,0.2985,69
3,1,9,1,0,1,1,1,0.54,0.5152,0.6,0.194,18
1,1,2,12,0,5,1,1,0.38,0.3939,0.46,0.3881,198
2,0,4,21,0,4,1,1,0.56,0.5303,0.46,0.1343,194
4,0,12,12,0,5,1,2,0.34,0.303,0.42,0.3582,173
2,1,6,23,0,2,1,1,0.72,0.697,0.79,0.1343,125
1,1,1,11,0,4,1,2,0.34,0.3485,0.81,0.1045,119
3,1,8,15,0,0,0,3,0.64,0.5758,0.89,0.2836,391
1,0,2,0,0,4,1,3,0.14,0.1364,0.86,0.194,16
4,1,10,18,0,6,0,2,0.56,0.5303,0.64,0.2836,456
2,0,3,18,0,2,1,1,0.36,0.3636,0.21,0.0896,294
3,0,7,20,0,5,1,1,0.84,0.8182,0.56,0,212
1,1,2,22,0,5,1,2,0.32,0.3485,0.66,0,113
2,0,5,18,0,4,1,1,0.56,0.5303,0.26,0.2836,520
4,1,12,8,0,2,1,1,0.38,0.3939,0.94,0,662
1,1,1,13,0,5,1,1,0.26,0.2121,0.33,0.5224,154
3,1,8,16,0,3,1,3,0.74,0.6818,0.55,0.2239,460
3,0,7,15,0,4,1,1,0.86,0.7879,0.41,0.2537,166
4,1,10,20,0,0,0,1,0.4,0.4091,0.82,0.1343,116
1,0,1,0,0,0,0,1,0.26,0.303,0.56,0,39
3,0,7,7,0,5,1,2,0.8,0.803,0.66,0.1045,252
4,1,11,23,0,2,1,2,0.26,0.2424,0.81,0.2537,67
2,1,6,0,0,3,1,2,0.66,0.5909,0.94,0.194,34
2,0,5,9,0,0,0,1,0.56,0.5303,0.52,0.2239,160
4,1,9,0,0,3,1,1,0.58,0.5455,0.64,0.2985,40
1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,136
2,1,5,17,0,4,1,1,0.74,0.6818,0.55,0.2836,798
2,1,5,6,0,0,0,1,0.52,0.5,0.68,0.1642,21
3,0,8,2,0,0,0,3,0.64,0.5758,0.89,0.2239,62
4,0,11,23,0,5,1,1,0.34,0.3485,0.76,0.1045,33
1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,70
2,1,5,3,0,3,1,3,0.62,0.5606,0.88,0.1343,5
3,1,9,15,0,3,1,1,0.72,0.6515,0.37,0.1343,318
1,1,3,17,0,4,1,1,0.7,0.6364,0.39,0.2537,713
3,1,9,16,0,6,0,1,0.74,0.6667,0.51,0.3284,680
3,1,7,7,0,5,1,1,0.72,0.6818,0.7,0.194,410
2,0,5,5,0,1,1,1,0.5,0.4848,0.93,0.194,21
3,1,9,10,0,3,1,2,0.76,0.7273,0.7,0.1642,235
4,1,9,18,0,1,1,1,0.54,0.5152,0.37,0.1642,853
1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,3
4,0,10,16,0,5,1,2,0.36,0.3485,0.46,0.1642,308
3,0,8,0,0,4,1,1,0.68,0.6364,0.74,0.2985,52
1,1,2,5,0,0,0,3,0.26,0.2576,0.81,0.194,4
4,0,10,21,0,6,0,1,0.52,0.5,0.77,0,187
4,1,9,0,0,4,1,1,0.6,0.5758,0.78,0.0896,65
1,1,2,5,0,2,1,2,0.26,0.2727,0.65,0.1045,22
3,0,8,3,0,5,1,1,0.64,0.5909,0.78,0.0896,6
1,0,1,11,0,6,0,1,0.2,0.197,0.55,0.2239,72
4,1,12,1,0,1,1,1,0.4,0.4091,0.82,0.1343,13
4,1,10,8,0,4,1,1,0.38,0.3939,0.46,0.3881,798
3,0,8,9,0,5,1,1,0.72,0.6515,0.34,0.1343,205
1,1,12,18,0,0,0,1,0.3,0.303,0.45,0.1642,93
2,0,5,1,0,2,1,1,0.68,0.6364,0.89,0.0896,17
1,1,3,3,0,2,1,3,0.52,0.5,0.72,0.2985,2
2,1,3,5,0,1,1,1,0.44,0.4394,0.77,0.1642,36
3,0,7,3,0,2,1,1,0.72,0.6818,0.7,0.1642,3
1,0,1,15,0,0,0,1,0.16,0.1364,0.28,0.3582,77
3,0,7,17,0,4,1,1,0.86,0.7576,0.36,0.2537,569
4,0,10,15,0,1,1,3,0.4,0.4091,0.76,0,101
2,0,5,19,0,3,1,1,0.56,0.5303,0.52,0.1343,401
4,1,10,22,0,2,1,1,0.56,0.5303,0.68,0.1045,194
1,0,2,7,0,2,1,2,0.12,0.1212,0.8,0.2836,40
3,0,6,13,0,1,1,2,0.72,0.6667,0.58,0.2239,164
3,1,8,3,0,0,0,1,0.62,0.5909,0.73,0.0896,48
2,0,3,22,0,5,1,2,0.28,0.2576,0.38,0.3284,43
4,0,10,14,0,2,1,3,0.6,0.5909,0.73,0.1045,171
4,1,11,7,0,3,1,2,0.26,0.2576,0.56,0.194,409
2,0,6,18,0,0,0,1,0.7,0.6515,0.58,0.1045,363
3,1,9,8,0,5,1,1,0.66,0.6061,0.83,0.1045,719
3,1,7,23,0,6,0,1,0.66,0.6061,0.83,0.0896,208
4,1,12,2,0,1,1,2,0.38,0.3939,0.94,0.1045,5
4,0,11,10,0,0,0,1,0.46,0.4545,0.72,0.2836,189
2,1,6,18,0,1,1,1,0.64,0.6212,0.38,0.3881,822
2,0,3,9,0,3,1,2,0.32,0.303,0.45,0.2239,154
2,0,4,15,0,4,1,1,0.6,0.6212,0.38,0.1045,160
4,1,11,7,0,2,1,1,0.2,0.2121,0.69,0.1642,387
3,0,8,14,0,6,0,3,0.64,0.5758,0.89,0.5522,23
4,0,11,15,0,3,1,1,0.52,0.5,0.45,0.2239,151
4,0,12,20,0,1,1,2,0.46,0.4545,0.82,0.1045,205
4,0,11,7,0,0,0,1,0.38,0.3939,0.87,0.2239,23
3,0,8,16,0,6,0,3,0.64,0.5758,0.89,0.5224,24
2,1,4,0,0,2,1,1,0.66,0.6212,0.54,0.194,43
4,0,12,21,0,1,1,2,0.36,0.3485,0.53,0.1343,127
4,0,10,20,1,1,0,1,0.6,0.5909,0.73,0,225
1,0,2,12,0,0,0,1,0.36,0.3182,0.32,0.4627,152
4,1,11,4,0,3,1,1,0.28,0.2879,0.87,0.1045,10
2,0,5,11,1,1,0,1,0.82,0.7727,0.52,0,321
4,1,12,4,0,3,1,1,0.26,0.303,0.6,0,4
3,1,8,19,0,1,1,1,0.78,0.7424,0.59,0.194,640
2,1,3,3,0,4,1,1,0.52,0.5,0.83,0.0896,7
2,0,4,20,0,6,0,1,0.44,0.4394,0.62,0.1343,224
4,1,11,2,0,0,0,1,0.3,0.3333,0.65,0,37
4,0,12,2,0,2,1,2,0.46,0.4545,0.87,0.194,3
4,0,9,22,0,6,0,2,0.62,0.5606,0.88,0,193
3,0,8,4,0,0,0,1,0.68,0.6364,0.83,0.2239,6
1,1,1,1,0,6,0,1,0.16,0.1515,0.47,0.194,50
4,1,11,12,0,6,0,1,0.48,0.4697,0.48,0,606
2,1,6,4,0,2,1,2,0.6,0.5758,0.78,0.1343,10
2,1,5,15,0,2,1,1,0.7,0.6515,0.61,0.0896,245
3,1,7,19,1,3,0,1,0.86,0.803,0.47,0.2239,432
3,1,8,12,0,6,0,1,0.86,0.7879,0.4,0.3582,547
4,0,11,16,0,0,0,1,0.56,0.5303,0.52,0.2537,323
1,1,2,15,0,2,1,2,0.42,0.4242,0.38,0.4478,145
4,1,11,7,0,0,0,1,0.28,0.2727,0.81,0.194,42
3,1,7,11,0,3,1,1,0.76,0.6667,0.33,0,281
3,0,8,12,0,1,1,1,0.74,0.6818,0.58,0.2836,178
1,1,2,9,0,5,1,1,0.22,0.2273,0.55,0.1642,275
3,0,7,1,0,3,1,1,0.76,0.697,0.55,0,12
1,1,2,3,0,6,0,1,0.28,0.2879,0.65,0.1045,18
4,1,12,11,0,0,0,2,0.4,0.4091,0.87,0.2985,250
2,0,6,4,0,1,1,1,0.56,0.5303,0.64,0.2985,4
4,1,10,10,0,6,0,1,0.4,0.4091,0.43,0,347
4,1,11,15,0,0,0,1,0.4,0.4091,0.4,0.2239,449
1,1,1,5,0,4,1,2,0.2,0.2273,0.59,0.0896,26
2,1,6,22,0,0,0,1,0.6,0.6061,0.6,0.194,153
4,1,10,14,0,2,1,1,0.54,0.5152,0.39,0.2537,308
2,1,5,19,0,3,1,1,0.72,0.6667,0.54,0.1642,556
3,1,8,22,0,3,1,1,0.64,0.6061,0.73,0,281
2,1,6,20,0,1,1,2,0.62,0.5909,0.73,0.1343,362
2,1,6,15,0,6,0,1,0.64,0.6212,0.38,0.2537,702
2,0,3,3,0,4,1,3,0.24,0.2273,0.93,0.2239,1
4,0,11,17,0,2,1,2,0.5,0.4848,0.72,0.194,451
2,0,4,20,0,3,1,1,0.44,0.4394,0.62,0.2537,126
3,0,8,8,0,1,1,1,0.66,0.6212,0.61,0.3284,351
4,0,10,4,0,2,1,2,0.52,0.5,0.88,0.1343,5
4,0,10,9,0,6,0,3,0.28,0.2576,0.87,0.3582,20
3,0,7,9,0,1,1,1,0.8,0.803,0.66,0,135
4,1,11,14,0,4,1,2,0.4,0.4091,0.5,0.2239,185
4,0,11,13,0,6,0,1,0.4,0.4091,0.37,0.1045,355
4,0,11,5,0,6,0,1,0.26,0.2273,0.6,0.3284,2
3,1,7,18,0,0,0,1,0.8,0.7121,0.41,0.2985,419
2,0,6,11,0,5,1,1,0.68,0.6364,0.69,0.2537,181
2,1,5,20,0,4,1,1,0.64,0.6061,0.73,0.194,420
2,1,4,1,0,1,1,3,0.34,0.303,0.87,0.3582,2
3,1,8,23,0,6,0,1,0.76,0.7273,0.66,0.2985,222
3,1,9,3,0,3,1,1,0.7,0.6667,0.79,0.2836,4
3,0,8,4,0,4,1,1,0.66,0.6061,0.78,0.3881,7
1,1,1,9,1,1,0,1,0.24,0.2576,0.35,0,68
2,1,4,5,0,5,1,2,0.34,0.3333,0.53,0.1642,21
4,1,11,2,0,5,1,1,0.32,0.303,0.53,0.2537,12
4,1,11,11,0,3,1,1,0.32,0.303,0.49,0.2537,151
1,0,3,14,0,5,1,1,0.36,0.3333,0.4,0.2836,95
3,0,8,22,0,5,1,1,0.7,0.6515,0.65,0.2239,188
1,0,3,20,0,2,1,1,0.3,0.3182,0.61,0.0896,88
1,0,3,7,0,5,1,1,0.16,0.1818,0.8,0.1343,83
4,1,12,17,0,4,1,1,0.3,0.3182,0.45,0.1045,617
4,1,10,7,0,1,1,1,0.38,0.3939,0.66,0.0896,452
4,1,10,5,0,1,1,2,0.56,0.5303,0.73,0.2836,40
4,1,12,13,0,4,1,2,0.36,0.3485,0.57,0.194,217
3,1,8,4,0,6,0,1,0.62,0.5909,0.73,0.2239,13
4,1,10,1,0,5,1,1,0.4,0.4091,0.66,0.0896,37
4,0,12,4,0,0,0,1,0.22,0.2121,0.55,0.2239,1
3,1,7,14,0,4,1,1,0.86,0.7879,0.44,0.0896,197
2,1,6,16,0,5,1,1,0.72,0.6515,0.37,0.194,558
1,0,2,19,0,0,0,2,0.34,0.3333,0.36,0.1343,42
3,1,6,0,0,3,1,1,0.62,0.6212,0.41,0.194,54
3,1,7,19,0,0,0,1,0.84,0.7424,0.39,0.1343,382
1,1,12,17,0,5,1,2,0.26,0.2273,0.56,0.3284,321
1,1,2,10,0,4,1,1,0.42,0.4242,0.67,0.194,148
2,0,5,10,0,3,1,1,0.54,0.5152,0.68,0.0896,154
4,0,12,1,0,4,1,1,0.26,0.2424,0.6,0.2836,10
1,1,2,23,0,6,0,1,0.24,0.197,0.41,0.4179,91
2,0,5,15,0,5,1,1,0.6,0.6212,0.38,0.3881,260
1,0,3,4,0,6,0,2,0.3,0.303,0.93,0.1642,1
4,0,10,4,0,6,0,1,0.44,0.4394,0.58,0.4179,8
1,1,3,21,0,5,1,3,0.36,0.3636,0.87,0.0896,101
3,0,7,7,0,0,0,1,0.8,0.7727,0.59,0.1343,35
3,0,7,18,0,4,1,1,0.84,0.8182,0.56,0.2239,483
1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,139
4,1,10,19,0,5,1,1,0.62,0.5909,0.73,0.1642,500
3,1,8,5,0,3,1,1,0.6,0.5909,0.73,0.194,40
1,1,1,15,1,1,0,1,0.28,0.2424,0.38,0.4478,168
3,1,8,19,0,0,0,1,0.74,0.6515,0.4,0.1343,465
2,1,4,3,0,5,1,1,0.44,0.4394,0.88,0.1045,10
2,1,4,15,0,2,1,1,0.6,0.5909,0.2,0.194,316
1,0,2,19,0,6,0,1,0.28,0.2727,0.38,0.1642,41
4,1,11,18,0,2,1,1,0.32,0.303,0.57,0.2985,497
2,0,4,22,0,4,1,2,0.4,0.4091,0.76,0.194,81
2,0,4,1,0,2,1,1,0.46,0.4545,0.63,0.2239,7
2,1,5,7,0,4,1,1,0.44,0.4394,0.72,0.2985,401
1,0,2,10,0,4,1,1,0.12,0.1061,0.42,0.2985,35
3,0,8,19,0,2,1,1,0.74,0.6667,0.48,0.194,376
1,1,3,22,0,1,1,2,0.56,0.5303,0.73,0.1642,148
4,1,10,16,0,5,1,3,0.62,0.6061,0.69,0.3582,565
4,1,10,2,0,4,1,1,0.64,0.5758,0.89,0,13
1,0,2,21,0,2,1,1,0.2,0.197,0.47,0.2537,82
4,1,11,21,1,4,0,1,0.34,0.3485,0.61,0.0896,46
4,0,11,6,0,6,0,1,0.24,0.2121,0.6,0.3284,12
3,0,9,7,0,0,0,1,0.46,0.4545,0.72,0.2239,44
3,0,6,5,0,2,1,2,0.6,0.5455,0.88,0.1343,25
3,1,7,1,0,4,1,2,0.66,0.6212,0.61,0,21
2,1,6,12,0,5,1,1,0.7,0.6364,0.45,0.1642,403
4,0,10,14,0,5,1,1,0.62,0.6212,0.43,0.3582,156
3,1,6,21,0,6,0,1,0.76,0.6667,0.33,0.1343,322
4,0,9,15,0,3,1,1,0.7,0.6515,0.7,0.1343,181
4,1,10,20,0,1,1,2,0.52,0.5,0.72,0.3881,256
1,0,2,9,0,1,1,1,0.4,0.4091,0.37,0.3881,130
2,1,4,12,0,5,1,1,0.58,0.5455,0.53,0.194,362
1,0,2,14,0,0,0,1,0.44,0.4394,0.47,0.0896,282
3,0,9,21,0,6,0,2,0.5,0.4848,0.72,0.194,170
1,1,2,11,0,2,1,2,0.26,0.2424,0.7,0.2836,86
4,1,12,21,0,1,1,2,0.42,0.4242,0.94,0.1343,120
4,1,9,6,0,2,1,1,0.44,0.4394,0.77,0.2239,194
4,1,11,8,0,4,1,2,0.36,0.3788,0.56,0.1045,680
3,0,8,15,0,2,1,1,0.72,0.6515,0.34,0.2239,601
4,1,11,6,0,5,1,1,0.2,0.2576,0.86,0,106
1,0,1,14,1,1,0,2,0.18,0.2121,0.43,0.1045,86
1,0,3,10,0,5,1,1,0.52,0.5,0.53,0.2836,117
3,0,7,7,0,3,1,2,0.72,0.697,0.79,0,312
1,1,2,10,0,0,0,2,0.26,0.2424,0.65,0.2836,148
4,0,12,8,0,2,1,2,0.42,0.4242,0.54,0.0896,432
2,1,4,20,0,6,0,2,0.38,0.3939,0.66,0,102
2,0,3,16,0,5,1,2,0.34,0.303,0.34,0.2985,150
3,1,9,12,0,3,1,1,0.78,0.7727,0.7,0.1045,266
2,0,6,2,0,0,0,2,0.64,0.6212,0.61,0.1642,64
3,1,7,3,0,3,1,1,0.74,0.697,0.66,0.1343,4
1,1,1,9,0,6,0,1,0.14,0.1667,0.5,0.1045,81
4,1,12,15,0,5,1,1,0.4,0.4091,0.47,0.1642,309
2,0,6,0,0,6,0,1,0.62,0.5606,0.88,0.1343,104
2,0,4,20,0,6,0,2,0.38,0.3939,0.87,0.1642,93
3,1,7,22,0,6,0,1,0.66,0.6061,0.78,0.0896,276
3,0,8,8,0,3,1,1,0.62,0.6061,0.69,0.1343,468
3,0,7,20,0,4,1,1,0.7,0.6364,0.42,0.2239,348
3,1,7,15,0,5,1,2,0.7,0.6667,0.84,0.2985,216
3,1,7,17,0,6,0,3,0.6,0.5455,0.88,0.1642,241
2,1,4,17,0,5,1,1,0.56,0.5303,0.24,0.1642,738
3,1,8,10,0,6,0,1,0.72,0.6818,0.62,0.0896,407
2,0,4,7,0,0,0,1,0.32,0.303,0.57,0.2239,33
3,0,8,15,0,6,0,3,0.68,0.6364,0.79,0.3582,358
2,1,4,23,0,5,1,1,0.42,0.4242,0.62,0.0896,198
4,0,10,8,0,4,1,1,0.44,0.4394,0.62,0.1642,457
3,1,7,9,0,4,1,1,0.84,0.7879,0.49,0.2985,293
4,0,10,0,0,4,1,1,0.46,0.4545,0.94,0,26
3,1,9,14,0,4,1,1,0.74,0.7121,0.74,0.0896,216
1,1,1,10,0,4,1,2,0.24,0.2576,0.52,0.0896,86
4,0,10,16,0,0,0,1,0.52,0.5,0.55,0.194,405
1,1,12,12,0,5,1,2,0.3,0.303,0.49,0.1343,222
3,1,9,5,0,0,0,1,0.5,0.4848,0.72,0,13
4,0,11,12,0,3,1,2,0.36,0.3333,0.53,0.2836,160
2,0,3,14,0,1,1,1,0.32,0.303,0.22,0.2239,80
1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,47
3,1,6,4,0,5,1,2,0.76,0.7273,0.66,0,10
4,0,11,12,1,4,0,1,0.46,0.4545,0.36,0.2239,150
3,1,7,11,0,2,1,2,0.86,0.803,0.47,0,206
1,1,2,10,0,3,1,1,0.4,0.4091,0.62,0.1343,133
4,0,9,12,0,5,1,3,0.62,0.5455,0.94,0.1045,29
3,1,9,3,0,0,0,1,0.66,0.5909,0.89,0.0896,42
3,0,8,13,0,2,1,1,0.76,0.6818,0.48,0.2985,192
2,1,5,15,0,0,0,2,0.7,0.6364,0.39,0.4179,502
4,1,11,23,0,2,1,1,0.32,0.3333,0.81,0.1045,83
3,1,9,23,0,0,0,1,0.54,0.5152,0.68,0.1045,94
4,0,12,12,0,6,0,1,0.36,0.3788,0.5,0,358
3,0,7,21,0,5,1,1,0.82,0.7576,0.46,0.1642,163
2,0,3,12,0,1,1,2,0.26,0.2727,0.25,0,79
3,1,7,15,0,1,1,1,0.84,0.7424,0.36,0.194,234
2,1,5,15,0,4,1,1,0.64,0.6212,0.36,0.2537,316
2,0,5,20,0,3,1,3,0.56,0.5303,0.88,0.1343,213
2,1,5,22,0,1,1,2,0.54,0.5152,0.45,0.2537,173
2,0,3,8,0,0,0,1,0.2,0.197,0.69,0.2239,14
4,1,12,8,0,5,1,2,0.3,0.2879,0.75,0.194,441
3,0,7,13,0,5,1,1,0.94,0.9848,0.51,0.1642,123
4,1,10,9,0,3,1,2,0.42,0.4242,0.77,0,382
1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,154
1,1,2,5,0,5,1,1,0.24,0.2273,0.52,0.2239,17
1,1,1,4,0,6,0,1,0.14,0.1515,0.5,0.1343,3
4,0,10,1,0,0,0,1,0.36,0.3788,0.87,0,71
1,0,3,19,0,4,1,1,0.2,0.197,0.4,0.2537,106
1,0,2,21,0,6,0,1,0.26,0.2576,1,0.194,56
2,0,5,21,0,5,1,1,0.56,0.5303,0.64,0.1045,195
4,0,10,5,0,2,1,1,0.38,0.3939,0.87,0.1343,24
2,1,6,5,0,1,1,3,0.52,0.5,0.83,0.1343,23
4,1,11,8,0,5,1,1,0.32,0.3333,0.57,0.1045,687
1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,1
3,0,9,6,0,2,1,1,0.56,0.5303,0.88,0.1045,122
1,1,3,22,0,0,0,1,0.26,0.2424,0.41,0.2537,62
4,0,11,12,0,0,0,1,0.54,0.5152,0.56,0.2836,256
4,1,11,22,0,1,1,1,0.28,0.2727,0.56,0.194,115
4,0,10,21,0,2,1,1,0.44,0.4394,0.72,0.1343,201
1,0,12,6,0,3,1,2,0.36,0.3788,0.87,0,76
2,0,4,20,0,4,1,1,0.58,0.5455,0.43,0.2239,269
1,0,1,7,0,5,1,1,0.2,0.1818,0.51,0.2836,68
1,0,2,3,0,5,1,1,0.46,0.4545,0.67,0.2537,8
1,1,1,9,0,1,1,2,0.22,0.2727,0.64,0,197
2,0,5,2,0,0,0,1,0.62,0.5606,0.88,0.1045,61
4,0,10,3,0,5,1,1,0.56,0.5303,0.94,0.1343,7
3,1,8,4,0,3,1,2,0.64,0.5909,0.78,0.1343,4
4,1,11,22,0,3,1,1,0.28,0.2727,0.45,0.1642,154
1,1,1,11,0,1,1,2,0.26,0.2879,0.56,0.0896,88
1,1,2,12,0,4,1,1,0.26,0.2273,0.48,0.3284,158
2,1,5,11,0,6,0,1,0.62,0.6212,0.41,0.0896,522
3,0,7,3,0,6,0,1,0.74,0.6818,0.62,0.1642,43
3,1,8,4,0,3,1,1,0.58,0.5455,0.83,0.1045,8
1,1,2,6,0,6,0,1,0.22,0.2273,0.87,0.1343,5
3,1,8,21,0,2,1,1,0.74,0.6818,0.62,0.2239,308
1,1,12,9,0,5,1,2,0.24,0.2121,0.6,0.2836,191
3,0,9,17,0,5,1,1,0.7,0.6667,0.79,0.2537,505
1,0,3,11,0,5,1,2,0.32,0.303,0.57,0.2985,81
4,0,11,9,0,3,1,2,0.52,0.5,0.94,0.194,167
